license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GT827PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT833PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Roma Termini;2;Yes;A Noleggio;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT834PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT836PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Valle di Comino;6;Yes;A Noleggio;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT841PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Firenze;5;Yes;Disponibile;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT843PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GT845PE;Vivarent;RENT;Volkswagen;Tiguan;Suv Automatic (group J1);FFAR;Cassino;1;Yes;A Noleggio;Yes;2024-04-08; 581,14 € ; 708,99 € ; -   € ;ott-26
GW323VW;Vivarent;RENT;Volkswagen;Golf Aut;Large Automatic (group D1);CDAR;Cassino NLT;15;Yes;A Noleggio;Yes;2024-10-15; 476,97 € ; 581,90 € ; -   € ;ott-26
GX153CM;Vivarent;LEASING;Opel;Grandland;Suv Automatic (group J1);FFAR;Brindisi;11;Yes;A Noleggio;Yes;2025-06-12; 435,07 € ; 530,79 € ; -   € ;nov-26
GX154CM;Vivarent;LEASING;Opel;Grandland;Suv Automatic (group J1);FFAR;Brindisi;11;Yes;A Noleggio;Yes;2025-05-28; 435,07 € ; 530,79 € ; -   € ;nov-26
GX156CM;Vivarent;LEASING;Opel;Grandland;Suv Automatic (group J1);FFAR;Napoli Capodichino;7;Yes;Disponibile;Yes;2025-05-28; 435,07 € ; 530,79 € ; -   € ;nov-26
GX159CM;Vivarent;LEASING;Opel;Grandland;Suv Automatic (group J1);FFAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-06-12; 435,07 € ; 530,79 € ; -   € ;nov-26
GX449FN;Vivarent;RENT;Toyota;Proace;Van 8 Seats Automatic (group M2);IVAR;Roma Termini;2;Yes;Disponibile;Yes;2024-11-15; 938,51 € ; 1.144,98 € ; -   € ;nov-26
GX452FN;Vivarent;RENT;Toyota;Proace;Van 8 Seats Automatic (group M2);IVAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2024-11-15; 938,51 € ; 1.144,98 € ; -   € ;nov-26
GV790TA;Vivarent;LEASING;Volkswagen;T-Cross;Large (group D);IFMR;Napoli Capodichino;7;Yes;A Noleggio;Yes;2025-05-29; 352,13 € ; 429,60 € ; 128,00 € ;nov-26
GR017BF;Vivarent;LEASING;Renault;Traffic;Van 9 Seats (group M);OVMR;Cassino;1;Yes;A Noleggio;Yes;2023-12-01; 386,40 € ; 471,41 € ; -   € ;nov-26
GY799BF;Vivarent;LEASING;Citroen;Citroen C4;Suv Automatic (group J1);FGAR;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-06-20; 385,77 € ; 470,64 € ; -   € ;nov-26
GY841BF;Vivarent;LEASING;Citroen;Citroen C4;Suv Automatic (group J1);FGAR;Roma Fiumicino;4;Yes;Disponibile;Yes;2025-07-01; 385,77 € ; 470,64 € ; -   € ;nov-26
GA278CV;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2025-09-19; -   € ; -   € ; -   € ;dic-26
GH503VR;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2025-08-11; 1,00 € ; -   € ; -   € ;dic-26
GH614ZR;Davide Papa - Eco Liri;INVESTOR;Jeep;Compass or similar;Suv Automatic (group J1);FFAH;Roma Fiumicino;4;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 82,09 € ;dic-26
GH616VL;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;A Noleggio;Yes;2025-08-01; 1,00 € ; -   € ; -   € ;dic-26
GJ182TK;Davide Papa - Eco Liri;INVESTOR;Jeep;Renegade;Large Automatic (group D1);IDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-08; 1,00 € ; -   € ; 71,50 € ;dic-26
GJ184TK;Davide Papa - Eco Liri;INVESTOR;Jeep;Renegade;Large Automatic (group D1);IDAR;Cassino;1;Yes;A Noleggio;Yes;2025-07-09; 1,00 € ; -   € ; 74,34 € ;dic-26
GJ265LD;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2025-08-01; 1,00 € ; -   € ; -   € ;dic-26
GJ267LD;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;Yes;Disponibile;Yes;2025-08-07; 1,00 € ; -   € ; -   € ;dic-26
GJ341LD;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;In Service;Yes;2025-08-07; 1,00 € ; -   € ; -   € ;dic-26
GJ344LD;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;A Noleggio;Yes;2025-09-01; 1,00 € ; -   € ; -   € ;dic-26
GJ345LD;WayCar;INVESTOR;Fiat;Panda;Small (group B);MDMR;Trapani Aeroporto;13;Yes;Disponibile;Yes;2025-08-01; 1,00 € ; -   € ; -   € ;dic-26
GK073MG;Davide Papa - Eco Liri;INVESTOR;Opel;Mokka;Large (group D);CDMR;Roma Fiumicino;4;Yes;Inattiva;No;2025-07-10; 1,00 € ; -   € ; 63,88 € ;dic-26
GK075MG;Davide Papa - Eco Liri;INVESTOR;Opel;Mokka;Large (group D);CDMR;Cassino NLT;15;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 63,88 € ;dic-26
GK281MH;Davide Papa - Eco Liri;INVESTOR;Volkswagen;Volkswagen Polo;Economy (group C);EDMR;Roma Termini;2;Yes;A Noleggio;Yes;2025-07-04; 1,00 € ; -   € ; 66,50 € ;dic-26
GK326MH;Davide Papa - Eco Liri;INVESTOR;Jeep;Compass or similar;Suv Automatic (group J1);FFAH;Roma Termini;2;Yes;Disponibile;Yes;2025-07-07; 1,00 € ; -   € ; 83,90 € ;dic-26
